,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Abrantes ,2010,39637,0,0,12.8,61.6,25.6,200,652,1.6,0,525,0,-256,103,77,1,15,25483,50,33,31,4,6,4,6971,1,458,1,0,1,12.9,3079,8658,12,55,969,19,4,56,14640,2313,49,1337,2160,9,407,23972,25909.4,1937,63.8,32.4,4075.9,66.2,5,4
Portugal ,2010,10573100,0,0,15.2,66.3,18.5,122,443055,4.2,0,105954,0,-4573,39993,27556,229,3055,5852186,17445,6974,5711,1171,1524,937,2016257,296,383627,340,30088,564,10,1145390,3732512,2,5,1075,5877,741,14318,2896074,577327,39,527287,555827,8,135527,7181975.2,7247436.3,65461,49,40.1,4776.8,76.2,8,2011
Abrantes ,2019,35254,0,49.3,10.9,60.3,28.8,264,497,1.4,201,528,5,-327,79,79,1,15,25696,17,20,14,3,5,4,4607,1,359,1,46,1,0,0,0,0,0,0,9,4,43,13879,2717,53,1005,1358,6,368,0,0,0,0,21.6,0,65.1,0,14
Portugal ,2019,10286263,0,111.5,13.6,64.4,22,161,588976,5.7,86579,111793,2.8,-25214,33272,20421,238,3119,5968354,8382,5792,4140,1184,1462,959,1618609,287,385247,436,37049,583,0,0,0,0,0,0,3644,712,11645,2954755,645528,40,267320,314268,5,128094,0,0,0,0,32.6,0,109.6,0,6833
Águeda ,2010,47875,0,0,13.9,67.3,18.8,135,1176,2.5,0,416,0,-7,170,126,1,14,22754,90,36,27,5,7,2,9329,1,796,1,23,1,7.2,5173,20090,5,10,911,26,3,60,14295,1337,38,1032,2147,7,436,27661,27699.6,39,54,33.8,5421.9,52.4,5,6
Águeda ,2019,46034,0,137.3,12,64.1,23.9,199,1125,2.4,361,443,5.5,-82,110,96,1,14,23174,44,27,14,5,6,2,7119,1,834,1,67,1,0,0,0,0,0,0,13,2,53,14658,1534,40,629,866,3,453,0,0,0,0,31.1,0,62.6,0,10
Aguiar da Beira ,2010,5539,0,0,11.7,61.7,26.6,227,38,0.7,0,99,0,-65,28,9,0,2,4864,24,7,5,1,1,1,764,0,0,0,0,0,27.6,572,1254,9,24,695,4,2,6,2233,181,50,166,200,6,107,6062.2,7687.7,1626,77.8,19.7,3019.2,22.4,3,1
Aguiar da Beira ,2019,4696,0,22.7,8.7,65.3,26,300,56,1.2,23,152,0,-129,29,7,0,2,4979,13,4,3,1,1,1,567,0,0,0,1,0,0,0,0,0,0,0,4,2,6,1902,196,49,81,133,4,100,0,0,0,0,21.3,0,63.5,0,5
Alandroal ,2010,5909,0,0,11.2,58,30.7,274,130,2.2,0,92,0,-53,13,10,0,3,4478,11,4,8,1,1,1,733,0,0,0,0,0,7.2,564,1109,23,19,747,1,2,4,2743,239,57,244,315,9,206,17595.7,8863.8,-8732,81.6,13.4,3269.9,42.5,2,0
Alandroal ,2019,5028,0,9.3,10.4,59,30.6,295,105,2.1,18,91,0,-73,12,4,0,4,4532,0,3,3,1,1,0,397,0,0,0,42,1,0,0,0,0,0,0,1,1,3,2322,275,58,76,157,5,208,0,0,0,0,18.1,0,68.2,0,13
Albergaria-a-Velha ,2010,25263,0,0,15.5,67.7,16.8,108,577,2.3,0,229,0,15,94,65,0,8,12284,53,24,21,4,4,3,4584,0,0,0,0,0,11,2508,8005,15,31,904,13,1,30,6286,756,33,688,1204,7,299,15161.5,17375.1,2214,46.2,33.4,6049,45.5,4,3
Albergaria-a-Velha ,2019,24136,0,152,12.8,65.9,21.3,166,476,2,186,252,0,-66,76,42,0,9,12549,33,22,14,4,4,3,3797,0,0,0,69,1,0,0,0,0,0,0,9,1,28,6707,838,36,446,486,3,233,0,0,0,0,32.9,0,52.6,0,10
Albufeira ,2010,40328,0,0,17.4,69.3,13.3,77,11273,28,0,283,0,256,180,100,0,8,42472,69,18,16,6,6,3,8428,0,0,1,22,9,11.8,6533,18255,7,9,902,33,6,100,6475,1008,22,1043,2920,10,1346,60380.6,57166.3,-3214,16.9,113.9,8911.3,511.6,5,141
Albufeira ,2019,41326,0,293.8,16.8,66.4,16.8,100,14813,35.8,495,359,6.1,136,197,100,1,9,43371,16,18,13,6,8,3,7689,0,0,0,60,9,0,0,0,0,0,0,18,7,81,7957,1299,27,483,1912,7,1145,0,0,0,0,86,0,411.8,0,238
Alcácer do Sal ,2010,13119,0,0,12.5,62.1,25.4,203,294,2.2,0,153,0,-37,46,23,0,5,8790,35,11,9,2,2,1,1943,0,0,0,0,1,10.4,1739,3414,5,19,876,6,2,22,5238,660,52,685,448,5,361,17371.2,18180,809,63.7,28.6,5586.1,53.3,5,8
Alcácer do Sal ,2019,11686,0,7.8,11.3,58.5,30.2,266,458,3.9,83,176,0,-93,33,18,0,5,8919,17,6,7,2,2,1,1444,0,0,2,29,1,0,0,0,0,0,0,3,3,17,4751,716,53,184,191,3,415,0,0,0,0,38.7,0,92.5,0,22
Alcanena ,2010,13932,0,0,13.7,63.8,22.5,165,508,3.6,0,151,0,-40,37,38,1,5,8060,20,15,12,2,3,1,2303,0,0,1,26,0,8.9,1597,6532,24,74,959,5,1,19,4644,395,42,372,506,6,191,8949.9,10351.1,1401,54.5,26.1,5899.9,42,17,2
Alcanena ,2019,12835,0,100.8,12.3,61.3,26.4,214,387,3,80,193,0,-113,31,24,1,5,8138,5,13,10,2,2,1,1772,0,0,1,65,0,0,0,0,0,0,0,4,1,23,4716,451,46,98,202,3,178,0,0,0,0,23.1,0,74,0,3
Alcobaça ,2010,56839,0,0,15,65.5,19.6,131,1788,3.1,0,657,0,-223,138,140,1,15,34504,119,42,52,5,7,5,11806,0,0,0,166,1,8.6,6485,19814,4,10,863,31,5,81,18022,1838,41,1239,2569,7,344,25975.4,27753.2,1778,49.3,37.9,5558.3,42.3,18,7
Alcobaça ,2019,53598,0,131.3,11.6,65.1,23.2,200,2153,4,388,616,0,-228,142,101,1,16,35369,51,33,29,5,6,4,7898,0,0,2,201,1,0,0,0,0,0,0,19,5,61,18178,2097,43,454,1003,3,337,0,0,0,0,21.9,0,86.7,0,32
Alcochete ,2010,17329,0,0,19.6,65.6,14.9,76,808,4.7,0,153,0,86,64,46,0,3,8797,63,9,8,1,1,1,3208,0,0,1,88,7,3.4,1762,4949,14,61,1463,8,2,31,3881,661,32,322,666,6,416,13484,12490.8,-993,28.1,41.7,5458.8,95.4,6,1
Alcochete ,2019,19646,0,153.1,16.6,66.7,16.7,100,1098,5.6,158,137,0,21,106,38,0,4,9113,20,10,7,2,2,1,3465,0,0,1,61,0,0,0,0,0,0,0,6,1,22,4121,882,30,370,415,3,372,0,0,0,0,37,0,194.9,0,5
Alcoutim ,2010,2968,0,0,7.6,48.4,44,575,64,2.2,0,68,0,-57,12,1,0,2,3508,3,3,2,2,2,1,283,0,0,0,0,0,12.7,297,496,18,28,740,2,2,4,1640,238,69,102,46,3,178,8528.2,8347.7,-180,89.8,20.2,2649.5,75.5,2,0
Alcoutim ,2019,2202,0,3.8,7.1,47,46,651,132,6,11,83,0,-72,33,2,0,2,3528,2,2,2,1,1,0,163,0,0,1,59,0,0,0,0,0,0,0,1,2,3,1271,255,76,32,36,3,176,0,0,0,0,52.2,0,125.8,0,4
Alenquer ,2010,43123,0,0,16.9,65.7,17.4,103,3113,7.2,0,480,0,43,230,127,0,12,23522,69,21,32,4,4,1,6460,0,0,2,42,0,5,4045,13358,9,20,1059,16,5,59,13354,1454,41,1070,2036,7,644,22739,23534,795,50.7,32.5,6631.4,40.8,6,0
Alenquer ,2019,43824,0,144.1,15.2,65.6,19.2,127,2734,6.2,413,455,2.4,-42,217,72,0,13,23811,19,19,21,4,4,1,6181,0,0,2,131,0,0,0,0,0,0,0,8,5,41,11648,1789,36,578,966,3,570,0,0,0,0,24.1,0,74.7,0,12
Alfândega da Fé ,2010,5165,0,0,10.2,58,31.8,310,26,0.5,0,95,0,-79,10,2,0,2,3864,16,7,1,1,1,1,657,0,0,0,0,1,3.8,459,794,16,90,757,2,2,5,2099,282,52,121,274,9,156,14947.1,7865.7,-7081,85.9,28.5,2518.9,39.5,2,1
Alfândega da Fé ,2019,4559,0,14.2,8.4,58.6,33,392,158,3.5,27,79,37,-52,12,5,0,2,3915,7,4,1,1,1,1,437,0,0,0,1,0,0,0,0,0,0,0,2,2,4,1735,306,49,175,216,8,176,0,0,0,0,29,0,46.9,0,7
Alijó ,2010,12103,0,0,11.6,60.2,28.1,241,86,0.7,0,178,0,-103,35,11,0,8,8560,11,17,10,2,2,1,1680,0,0,1,38,0,6.6,1033,2256,13,32,874,4,3,11,4534,679,49,562,668,9,194,10506.2,10773.5,267,79.1,32.3,2744.8,21.3,1,6
Alijó ,2019,10664,0,35.8,9.9,59.1,30.9,311,95,0.9,56,179,0,-123,14,19,0,8,8616,8,11,6,2,2,1,1089,0,0,1,11,0,0,0,0,0,0,0,3,3,9,3956,722,49,433,514,8,160,0,0,0,0,21.7,0,20.3,0,18
Aljezur ,2010,5865,0,0,12.5,57.1,30.5,245,1298,22.1,0,71,0,-32,16,14,0,2,5852,49,3,3,1,1,0,591,0,0,2,0,0,6.7,794,1346,5,22,740,2,2,9,1858,210,40,249,205,6,198,8866.5,9297.5,431,54.8,45,3318.5,175.1,8,3
Aljezur ,2019,5597,0,17.3,12.8,56.4,30.8,241,1635,29.2,49,95,0,-46,25,5,0,3,6002,11,3,3,1,1,0,628,0,0,1,18,0,0,0,0,0,0,0,2,2,14,1567,272,38,76,138,4,220,0,0,0,0,67.9,0,276.6,0,51
Aljustrel ,2010,9333,0,0,11.6,64.1,24.2,208,101,1.1,0,150,0,-64,36,19,0,5,5814,14,10,8,1,2,1,1512,0,0,1,92,0,11.1,903,1978,23,36,1001,4,4,15,4039,371,54,513,393,7,172,11019.8,11203.5,184,72.3,24.2,4810.8,51.3,6,2
Aljustrel ,2019,8266,0,18,12,60.2,27.8,231,125,1.5,82,144,0,-62,26,12,0,5,5883,8,7,5,1,2,1,1282,0,0,1,185,1,0,0,0,0,0,0,2,4,10,3627,396,56,335,253,5,204,0,0,0,0,24.2,0,122.4,0,5
Almada ,2010,173634,0,0,15.5,65,19.6,126,11578,6.7,0,1762,0,111,639,509,1,42,101109,130,92,60,17,22,14,30634,7,11280,2,306,14,10.9,18057,38936,8,13,1035,90,1,236,45110,15754,41,7870,8082,7,1512,73475.4,79498.5,6023,29.2,42.8,3359.6,89.7,15,11
Almada ,2019,169013,0,2414.1,15,61.8,23.2,155,13303,7.9,1701,2097,2.4,-396,545,377,1,46,102258,169,94,51,17,22,14,29945,7,9892,3,584,15,0,0,0,0,0,0,56,1,191,46949,17151,45,6306,5217,5,1715,0,0,0,0,40.3,0,189.5,0,36
Almeida ,2010,7355,0,0,8.5,57.1,34.4,405,89,1.2,0,149,0,-129,10,6,0,2,6648,10,5,5,2,2,2,833,0,0,1,0,0,13.8,610,1231,14,33,787,5,1,10,2599,649,49,214,178,4,139,12907.4,11480.9,-1427,82.8,34.4,3686.5,19.9,10,4
Almeida ,2019,5878,0,11.3,5.9,57.9,36.2,617,92,1.6,23,158,0,-135,12,8,0,2,6693,2,2,3,2,2,2,503,0,0,1,1,0,0,0,0,0,0,0,3,1,10,2326,675,55,123,126,4,149,0,0,0,0,36.6,0,39.8,0,9
Almeirim ,2010,23335,0,0,15.3,63.7,21,138,910,3.9,0,264,0,-40,76,65,0,6,12172,65,14,8,3,3,1,4168,0,0,0,0,0,12,2591,6140,5,22,871,11,3,29,7256,959,41,768,1015,7,315,15662.1,14244.1,-1418,63.4,42.5,3854.7,25.7,5,1
Almeirim ,2019,22558,0,101.6,13.6,61.9,24.5,181,750,3.3,156,320,0,-164,61,53,0,6,12376,25,11,9,2,3,1,3291,0,0,1,52,0,0,0,0,0,0,0,7,3,19,7487,1146,44,370,491,4,272,0,0,0,0,28.2,0,67.2,0,9
Almodôvar ,2010,7501,0,0,12,59.6,28.5,238,136,1.8,0,142,0,-85,15,7,0,2,5398,16,6,7,1,1,1,1178,0,0,0,0,0,11.5,785,1307,7,18,737,4,1,12,2912,380,50,274,504,11,227,12617.7,12220.8,-397,85.5,25.1,2602.2,25.3,4,2
Almodôvar ,2019,6736,0,8.7,11.7,59.1,29.2,250,200,3,50,127,0,-77,10,10,0,2,5516,14,5,5,1,1,1,942,0,0,0,75,1,0,0,0,0,0,0,1,1,11,2569,405,50,134,174,4,216,0,0,0,0,27.3,0,69.3,0,9
Alpiarça ,2010,7747,0,0,14.8,61,24.2,163,241,3.1,0,124,0,-63,17,20,0,3,4048,18,5,3,1,1,1,985,0,0,1,0,0,18,762,1798,16,44,872,2,1,6,2800,328,48,224,377,8,193,6514.4,7039.8,525,73.2,39.8,4981.5,27.1,15,0
Alpiarça ,2019,7073,0,74.2,13,59.1,27.9,215,331,4.7,38,115,0,-77,16,14,0,3,4090,3,3,3,1,1,1,806,0,0,1,32,0,0,0,0,0,0,0,2,1,7,2776,399,52,99,135,3,172,0,0,0,0,29.3,0,24,0,3
Alter do Chão ,2010,3607,0,0,11.1,57.5,31.4,284,145,4,0,74,0,-46,18,4,0,4,3037,8,3,2,1,1,2,603,0,0,1,0,0,15.4,328,748,33,55,816,1,1,6,1678,436,66,258,150,7,155,5724.7,5769.6,45,80.2,29.1,3575.3,137.8,9,2
Alter do Chão ,2019,3178,0,8.8,11.2,60.4,28.5,255,111,3.5,16,78,0,-62,11,4,0,4,3056,2,2,1,1,2,2,495,0,0,0,10,0,0,0,0,0,0,0,1,1,6,1374,374,62,123,132,7,139,0,0,0,0,28.3,0,114.2,0,5
Alvaiázere ,2010,7372,0,0,11.3,57.3,31.5,280,170,2.3,0,115,0,-72,12,8,1,4,5718,12,7,5,1,1,2,870,0,0,1,0,1,3.6,775,1986,20,26,737,4,2,8,3778,359,63,228,241,6,111,9277.8,7966.6,-1311,77.5,36.9,2443.8,46.7,2,0
Alvaiázere ,2019,6612,0,41.2,9.3,58.7,32,345,386,5.8,34,118,0,-84,13,10,1,4,5761,8,2,2,1,1,2,653,0,0,1,39,0,0,0,0,0,0,0,4,1,8,2874,396,55,143,130,3,81,0,0,0,0,22.7,0,49.8,0,6
Alvito ,2010,2526,0,0,12.4,64.9,22.7,183,118,4.7,0,56,0,-40,3,3,0,1,1718,6,2,2,1,2,0,530,0,0,0,0,0,10.1,271,445,18,21,902,1,2,3,953,121,48,104,81,5,114,5163.9,4875.9,-288,87.8,27.7,3912.3,113.2,1,1
Alvito ,2019,2470,0,9.3,11.4,66,22.6,198,77,3.1,15,35,0,-20,6,0,0,2,1737,2,2,1,1,2,1,423,0,0,0,19,0,0,0,0,0,0,0,1,2,3,862,144,46,87,62,4,124,0,0,0,0,40.1,0,257.1,0,5
Amadora ,2010,175208,0,0,14.7,66.2,19.1,130,18523,10.6,0,1518,0,478,514,428,2,41,87887,30,80,50,15,19,9,32528,1,417,3,0,11,0,17241,53550,11,23,1196,68,2,226,44685,12685,38,13307,9645,8,1677,0,0,0,0,49.6,3203.7,77.3,0,4
Amadora ,2019,182915,0,7692,15.7,60.9,23.4,150,21456,11.7,2079,1674,7.7,405,245,282,3,41,88220,6,75,46,17,18,9,27435,1,439,2,343,11,0,0,0,0,0,0,40,2,165,46198,13159,38,4689,4017,4,1678,0,0,0,0,31.6,0,80.3,0,6
Amarante ,2010,56615,0,0,16.3,68.4,15.3,94,420,0.7,0,480,0,6,266,139,1,13,28198,158,41,45,6,8,4,13600,0,0,1,0,0,6.2,4699,16520,7,14,851,17,1,44,12323,1806,30,3376,4210,11,626,30542.9,29080.7,-1462,61.5,32,2524.5,43.8,4,5
Amarante ,2019,53280,0,176.8,12.2,68.8,19,155,363,0.7,339,505,0,-166,186,98,1,15,28995,48,29,20,6,8,4,8294,0,0,1,124,0,0,0,0,0,0,0,12,1,48,12622,1969,31,1886,2214,6,592,0,0,0,0,21.1,0,50.1,0,20
Amares ,2010,18924,0,0,16.9,67.6,15.5,91,126,0.7,0,164,0,-6,86,29,1,4,9572,89,20,16,1,3,2,3649,0,0,1,0,0,3.9,1590,4599,14,40,837,4,3,14,4408,438,31,682,1140,9,263,13164.9,13682.7,518,74.8,38.5,2511.1,27.9,3,7
Amares ,2019,18122,0,221.1,12.5,68.5,18.9,151,271,1.5,149,189,6.7,-40,91,42,1,4,9919,51,7,6,1,2,1,2281,1,195,0,8,0,0,0,0,0,0,0,3,3,15,4555,559,32,199,515,4,210,0,0,0,0,26,0,65.3,0,30
Anadia ,2010,29352,0,0,12.9,64.4,22.7,176,671,2.3,0,355,0,-125,101,61,1,14,14971,44,30,22,4,5,3,4734,0,0,3,0,1,17.6,3180,8909,15,23,905,13,3,30,9212,994,40,378,1153,6,201,15060,17722,2662,73.3,31.1,5236.2,53.8,6,9
Anadia ,2019,27278,0,125.9,10.5,62.2,27.3,259,630,2.3,187,371,10.7,-184,80,44,1,13,15260,20,19,13,4,4,4,4058,0,0,3,20,1,0,0,0,0,0,0,9,6,29,9176,1158,42,249,483,3,274,0,0,0,0,33.1,0,74.5,0,15
Angra do Heroísmo ,2010,35489,0,0,16.9,68.7,14.4,85,442,1.2,0,419,0,-93,193,129,3,9,14952,55,35,24,3,4,4,6629,2,710,1,55,0,15.9,3921,9291,9,29,0,18,2,58,8266,2447,36,3188,795,3,223,19029.7,19092.3,63,76.5,37.8,3065.7,61.8,2,8
Angra do Heroísmo ,2019,33855,0,141.7,14.3,68.2,17.5,123,407,1.2,291,375,0,-84,138,91,3,10,15309,21,28,17,4,4,4,5490,3,431,1,244,2,0,0,0,0,0,0,11,2,53,8380,2736,38,1881,0,0,215,0,0,0,0,35.3,0,158.1,0,38
Ansião ,2010,13220,0,0,13.2,61.6,25.1,190,211,1.6,0,194,0,-116,41,22,1,5,8426,33,12,9,3,4,2,2663,0,0,0,0,1,15.9,1515,4174,13,26,835,8,4,14,4891,434,47,478,580,7,135,9477.3,10460.4,983,72.4,21.5,3393.3,43.1,3,1
Ansião ,2019,12073,0,68.6,9.9,62.7,27.4,278,348,2.9,67,184,0,-117,27,7,1,5,8601,16,10,6,2,2,2,1840,0,0,1,41,0,0,0,0,0,0,0,5,3,12,4488,515,46,250,242,3,116,0,0,0,0,14.4,0,47.2,0,5
Arcos de Valdevez ,2010,23046,0,0,11.5,58,30.5,264,145,0.6,0,393,0,-250,81,45,0,6,17196,54,12,4,2,3,2,3833,0,0,0,0,1,8.6,1900,4304,11,26,758,12,1,17,8411,783,45,604,866,6,326,22565.9,23264.4,699,73.2,33.8,3738.9,42.8,4,4
Arcos de Valdevez ,2019,20948,0,46.8,9.6,57.8,32.5,338,273,1.3,110,337,0,-227,56,35,0,6,17670,33,10,4,3,3,2,2426,0,0,0,64,1,0,0,0,0,0,0,6,1,19,7144,790,42,222,468,4,299,0,0,0,0,26.5,0,52.4,0,41
Arganil ,2010,12262,0,0,11.5,60.1,28.4,247,250,2,0,211,0,-123,29,19,0,4,10888,26,9,8,2,3,1,3161,0,0,0,0,0,7.9,1113,3105,17,20,737,5,3,11,5026,656,53,732,488,7,224,13848.3,10760.8,-3088,69.7,29.8,4488.8,43.6,2,1
Arganil ,2019,11041,0,33.2,10.1,61.8,28.1,279,585,5.3,62,185,0,-123,27,18,0,4,11024,9,7,6,2,3,1,1895,0,0,0,21,1,0,0,0,0,0,0,2,3,11,4450,694,52,154,339,5,214,0,0,0,0,19.1,0,85.3,0,12
Armamar ,2010,6399,0,0,12.9,62.1,25,194,33,0.5,0,102,0,-57,12,9,0,2,4925,32,8,10,1,1,0,770,0,0,0,0,0,5.4,569,1306,19,37,734,2,1,6,2239,233,45,384,308,8,200,8390.5,8437,47,76.7,15.3,3079.3,49.1,3,1
Armamar ,2019,5781,0,49.3,9.1,63.9,27,297,53,0.9,26,80,0,-54,7,7,0,2,5037,5,2,1,1,1,1,626,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1996,259,43,140,242,7,187,0,0,0,0,15.7,0,68,0,15
Arouca ,2010,22505,0,0,15.6,66.8,17.6,113,88,0.4,0,217,0,-11,108,33,0,7,10693,62,17,26,2,3,1,5106,0,0,2,0,0,9.1,2126,6305,7,15,735,8,1,21,6804,628,39,782,760,5,206,18773.3,17938.7,-835,73.1,17.4,2461,43.6,4,1
Arouca ,2019,20791,0,63.2,12.8,65.8,21.3,166,123,0.6,129,223,0,-94,50,33,1,7,11070,28,13,12,2,2,2,3259,0,0,2,125,2,0,0,0,0,0,0,5,2,22,6230,754,39,270,474,3,185,0,0,0,0,23.7,0,41.7,0,16
Arraiolos ,2010,7388,0,0,12.5,61.4,26.1,208,107,1.4,0,103,0,-44,13,11,0,6,4728,30,7,7,1,1,1,1146,0,0,0,0,1,23.9,791,1798,11,35,807,3,2,8,2782,273,47,239,272,6,142,9326.3,9667.9,342,78.7,18.3,3859.1,68.1,4,2
Arraiolos ,2019,6936,0,10.1,10.9,61.1,28,258,123,1.8,37,92,0,-55,21,17,0,6,4799,10,6,4,1,1,1,690,0,0,2,73,0,0,0,0,0,0,0,2,2,6,2579,362,48,78,119,3,166,0,0,0,0,13,0,70.1,0,10
Arronches ,2010,3193,0,0,10.1,58.5,31.3,309,52,1.6,0,68,0,-49,7,8,0,3,2539,4,4,3,1,1,0,322,0,0,0,0,1,11.1,269,527,21,41,717,1,1,5,1509,280,62,163,120,6,103,5314.1,5647.6,334,84.6,8.8,3065.4,71.4,5,0
Arronches ,2019,2840,0,9,8.6,61.8,29.6,343,53,1.9,16,84,0,-68,6,1,0,3,2565,5,3,1,1,1,1,271,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1147,277,55,46,69,4,103,0,0,0,0,19.7,0,89.4,0,4
Arruda dos Vinhos ,2010,13246,0,0,18.4,64.2,17.4,95,698,5.3,0,128,0,15,44,39,0,2,6685,58,6,7,1,2,2,2914,0,0,0,42,0,15.3,1537,4425,16,23,981,7,1,19,3375,425,35,220,434,5,252,9945,9790.9,-154,51.6,30.1,3007.9,38.2,2,0
Arruda dos Vinhos ,2019,15247,0,195.6,15.3,65.4,19.3,127,633,4.2,132,123,0,9,85,33,0,2,6873,11,5,4,1,2,2,3035,0,0,0,53,0,0,0,0,0,0,0,4,2,16,3369,557,30,145,252,3,250,0,0,0,0,23,0,84.7,0,4
Aveiro ,2010,78274,0,0,14.9,68.8,16.3,109,3774,4.8,0,697,0,102,362,261,2,21,40470,150,53,38,11,15,7,16828,5,11901,3,475,15,2,9520,31342,11,23,1092,68,2,154,18269,4863,35,1979,4047,8,546,44342.4,46047.7,1705,24.2,53.2,8410.1,86.4,2,17
Aveiro ,2019,78325,0,396.4,14,65.9,20.1,143,5203,6.6,699,743,2.9,-44,333,163,2,21,42135,68,53,35,10,13,7,15296,4,12613,3,444,8,0,0,0,0,0,0,41,1,114,19217,5479,36,1411,2354,5,571,0,0,0,0,32.5,0,68.3,0,39
Avis ,2010,4627,0,0,10.5,59.9,29.6,283,116,2.5,0,102,0,-77,12,11,0,5,3658,23,4,5,1,1,1,596,0,0,1,0,0,15.5,412,862,19,41,905,2,2,8,1994,231,54,356,262,9,206,8692.9,8785.1,92,80.7,28.3,6401.5,168.2,1,2
Avis ,2019,4248,0,7,9.6,60.5,29.9,313,63,1.5,22,62,0,-40,3,5,0,5,3680,2,4,4,1,1,0,364,0,0,1,1,0,0,0,0,0,0,0,2,2,9,1641,283,50,221,107,4,191,0,0,0,0,50.4,0,356.2,0,6
Azambuja ,2010,21818,0,0,14.8,65,20.2,136,1048,4.8,0,250,0,-53,86,64,0,6,11890,42,9,15,3,4,1,3684,0,0,0,0,1,5.4,1684,5939,26,61,1106,8,5,36,7064,1087,44,765,1002,7,358,16626.4,16443.3,-183,51.3,36,7532.2,39.8,6,2
Azambuja ,2019,22581,0,86,12.9,65.3,21.8,170,953,4.2,158,223,6.3,-65,66,37,0,6,12111,14,11,10,3,4,1,3257,0,0,1,60,0,0,0,0,0,0,0,4,5,32,6238,1244,38,429,399,3,325,0,0,0,0,41.9,0,150.1,0,6
Baião ,2010,20707,0,0,15.4,66.1,18.5,120,44,0.2,0,250,0,-97,75,38,0,6,11597,44,18,26,3,3,1,3698,0,0,2,0,0,5.9,1211,3749,10,15,745,5,2,10,6081,536,38,2705,1926,14,334,15391.6,14773.8,-618,81.1,26.3,1852.4,32.5,5,1
Baião ,2019,18820,0,107.8,11.4,67.2,21.4,188,75,0.4,126,213,0,-87,71,31,0,6,11806,19,16,5,3,3,1,2328,0,0,2,18,0,0,0,0,0,0,0,3,2,10,5400,588,36,942,997,8,307,0,0,0,0,15.7,0,38.3,0,21
Barcelos ,2010,120787,0,0,16.8,70.1,13.1,78,901,0.7,0,840,0,225,523,208,4,27,47218,359,96,88,10,15,9,24655,2,2643,1,0,2,10.4,11868,44856,6,9,776,41,6,99,27350,2429,30,3267,5843,7,682,52480.2,55873.7,3394,60.4,24.1,3667.1,33.8,5,5
Barcelos ,2019,116359,0,307.1,12.7,69.3,17.9,141,1205,1,867,838,2.3,29,384,232,4,27,49035,154,81,65,11,17,11,16773,4,4379,3,5,2,0,0,0,0,0,0,26,6,92,30325,2872,33,473,2214,3,818,0,0,0,0,17.3,0,40.9,0,22
Barrancos ,2010,1845,0,0,13.1,62.9,24,184,5,0.3,0,37,0,-22,2,1,0,1,1289,2,1,1,1,1,0,281,0,0,1,0,0,8.8,190,328,27,63,755,2,0,2,598,145,47,76,124,11,103,4509,4880.9,372,94.4,8.1,3101.2,100.3,1,1
Barrancos ,2019,1640,0,9.7,13.4,63.8,22.8,170,17,1,12,26,0,-14,0,2,0,1,1297,2,1,1,1,1,0,194,0,0,1,0,0,0,0,0,0,0,0,2,0,2,480,139,44,80,92,9,94,0,0,0,0,17.7,0,93.9,0,3
Barreiro ,2010,78969,0,0,14.2,64.8,20.9,147,3278,4.2,0,900,0,-124,366,247,2,22,41671,43,38,26,8,11,6,14856,1,692,1,167,5,5.2,6646,14276,7,23,1044,31,0,106,24026,5753,44,4586,4316,8,819,37304.2,40246.6,2942,33.5,40.5,3325.4,71.1,6,0
